x,y,z
499.612091,-15.059424,-12.687182
498.843262,-15.846726,-30.071316
497.427368,-15.949490,-48.079231
495.345337,-16.090435,-66.136841
492.590424,-16.181684,-84.218880
489.178955,-16.385860,-102.154053
485.048828,-16.484827,-120.232613
480.201630,-16.395607,-138.338699
481.824554,-16.186344,132.601364
486.433136,-16.638651,114.481270
490.303650,-17.028070,96.500748
493.502594,-17.225407,78.475792
496.020660,-17.677351,60.423607
497.866089,-17.934532,42.517174
499.075958,-18.213606,24.320292
499.621552,-18.451815,6.152130
499.510284,-18.124702,-12.687182
498.736633,-18.907272,-30.071316
497.320190,-19.001345,-48.079231
495.237274,-19.129515,-66.136841
492.481873,-19.203857,-84.218880
489.069214,-19.387098,-102.154053
484.938538,-19.460722,-120.232613
480.091980,-19.341759,-138.338699
481.716156,-19.142458,132.601364
486.321899,-19.623035,114.481270
490.189941,-20.036198,96.500748
493.387634,-20.253157,78.475792
495.902893,-20.720543,60.423607
497.746674,-20.989046,42.517174
498.954803,-21.275539,24.320292
499.498901,-21.517088,6.152130
499.389648,-21.189301,-12.687182
498.611267,-21.967108,-30.071316
497.194214,-22.052486,-48.079231
495.110596,-22.167873,-66.136841
492.354767,-22.225307,-84.218880
488.941071,-22.387609,-102.154053
484.810028,-22.435881,-120.232613
479.964264,-22.287186,-138.338699
481.589630,-22.097853,132.601364
486.192291,-22.606680,114.481270
490.057770,-23.043570,96.500748
493.254059,-23.280146,78.475792
495.766418,-23.762957,60.423607
497.608490,-24.042765,42.517174
498.814850,-24.336666,24.320292
499.357483,-24.581549,6.152130
499.250275,-24.253098,-12.687182
498.467072,-25.026117,-30.071316
497.049561,-25.102797,-48.079231
494.965240,-25.205397,-66.136841
492.209106,-25.245922,-84.218880
488.794434,-25.387270,-102.154053
484.663208,-25.410194,-120.232613
479.818481,-25.231771,-138.338699
481.444977,-25.052416,132.601364
486.044464,-25.589474,114.481270
489.907166,-26.050072,96.500748
493.101929,-26.306257,78.475792
495.611267,-26.804476,60.423607
497.451630,-27.095579,42.517174
498.656158,-27.396877,24.320292
499.197266,-27.645086,6.152130
499.092041,-27.315983,-12.687182
498.304138,-28.084179,-30.071316
496.886169,-28.152164,-48.079231
494.801270,-28.241972,-66.136841
492.044922,-28.265583,-84.218880
488.629517,-28.385979,-102.154053
484.498199,-28.383554,-120.232613
479.654663,-28.175406,-138.338699
481.282196,-28.006037,132.601364
485.878296,-28.571306,114.481270
489.738098,-29.055595,96.500748
492.931244,-29.331379,78.475792
495.437469,-29.844984,60.423607
497.276001,-30.147375,42.517174
498.478668,-30.456060,24.320292
499.018219,-30.707582,6.152130
498.915039,-30.377840,-12.687182
498.122437,-31.141188,-30.071316
496.704010,-31.200472,-48.079231
494.618652,-31.277481,-66.136841
491.862244,-31.284185,-84.218880
488.446106,-31.383621,-102.154053
484.314911,-31.355848,-120.232613
479.472748,-31.117985,-138.338699
481.101318,-30.958599,132.601364
485.693817,-31.552057,114.481270
489.550598,-32.060024,96.500748
492.742004,-32.355396,78.475792
495.245026,-32.884365,60.423607
497.081665,-33.198032,42.517174
498.282379,-33.514095,24.320292
498.820435,-33.768921,6.152130
498.719238,-33.438557,-12.687182
497.921936,-34.197025,-30.071316
496.503265,-34.247604,-48.079231
494.417450,-34.311817,-66.136841
491.661041,-34.301601,-84.218880
488.244354,-34.380074,-102.154053
484.113403,-34.326958,-120.232613
