x,y,z
-48.079254,-49.461624,-495.219086
-66.136864,-49.461826,-493.132263
-84.218903,-49.367069,-490.377472
-102.154076,-49.340698,-486.960022
-120.232635,-49.160889,-482.832611
-138.338715,-48.744953,-478.002472
132.601349,-48.645622,-479.635773
114.481247,-49.407722,-484.203369
96.500725,-50.057297,-488.038818
78.475769,-50.469940,-491.217194
60.423584,-51.090679,-493.699066
42.517151,-51.471737,-495.522888
24.320271,-51.831776,-496.711212
6.152108,-52.106232,-497.239471
-12.687204,-51.772369,-497.150543
-30.071337,-52.500973,-496.325867
-48.079254,-52.499302,-494.906281
-66.136864,-52.486702,-492.819489
-84.218903,-52.375034,-490.065369
-102.154076,-52.327698,-486.648102
-120.232635,-52.122566,-482.521851
-138.338715,-51.677006,-477.694366
132.601349,-51.587700,-479.328278
114.481247,-52.377808,-483.891113
96.500725,-53.050907,-487.722473
78.475769,-53.483036,-490.898254
60.423584,-54.118999,-493.376251
42.517151,-54.511234,-495.197754
24.320271,-54.878563,-496.383789
6.152108,-55.156258,-496.910370
-12.687204,-54.821850,-496.823486
-30.071337,-55.545387,-495.994385
-48.079254,-55.535000,-494.574829
-66.136864,-55.509598,-492.488159
-84.218903,-55.381035,-489.734741
-102.154076,-55.312733,-486.317841
-120.232635,-55.082279,-482.192993
-138.338715,-54.607109,-477.368286
132.601349,-54.527828,-479.002716
114.481247,-55.345921,-483.560638
96.500725,-56.042519,-487.387787
78.475769,-56.494125,-490.560883
60.423584,-57.145283,-493.034882
42.517151,-57.548691,-494.853912
24.320271,-57.923279,-496.037720
6.152108,-58.204205,-496.562622
-12.687204,-57.869270,-496.477753
-30.071337,-58.587708,-495.644257
-48.079254,-58.568611,-494.224762
-66.136864,-58.530403,-492.138306
-84.218903,-58.384949,-489.385712
-102.154076,-58.295681,-485.969299
-120.232635,-58.039928,-481.845917
-138.338715,-57.535156,-477.024231
132.601349,-57.465908,-478.659149
114.481247,-58.311951,-483.211914
96.500725,-59.032017,-487.034729
78.475769,-59.503090,-490.204987
60.423584,-60.169407,-492.674957
42.517151,-60.583969,-494.491516
24.320271,-60.965824,-495.672974
6.152109,-61.249954,-496.196136
-12.687204,-60.914516,-496.113342
-30.071337,-61.627819,-495.275421
-48.079254,-61.600014,-493.856079
-66.136864,-61.549004,-491.769897
-84.218903,-61.386662,-489.018250
-102.154076,-61.276436,-485.602448
-120.232635,-60.995388,-481.480743
-138.338715,-60.461040,-476.662262
132.601349,-60.401817,-478.297485
114.481247,-61.275791,-482.845032
96.500725,-62.019295,-486.663361
78.475769,-62.509811,-489.830658
60.423584,-63.191273,-492.296509
42.517151,-63.616978,-494.110474
24.320271,-64.006065,-495.289551
6.152109,-64.293411,-495.810974
-12.687204,-63.957462,-495.730225
-30.071337,-64.665611,-494.887939
-48.079254,-64.629105,-493.468811
-66.136864,-64.565292,-491.382965
-84.218903,-64.386070,-488.632385
-102.154076,-64.254875,-485.217316
-120.232635,-63.948544,-481.097382
-138.338715,-63.384644,-476.282288
132.601349,-63.335464,-477.917877
114.481247,-64.237312,-482.459961
96.500725,-65.004234,-486.273651
78.475769,-65.514183,-489.437866
60.423584,-66.210762,-491.899506
42.517151,-66.647591,-493.710846
24.320271,-67.043892,-494.887512
6.152109,-67.334442,-495.407104
-12.687204,-66.998001,-495.328461
-30.071337,-67.700974,-494.481842
-48.079254,-67.655754,-493.062958
-66.136864,-67.579140,-490.977570
-84.218903,-67.383049,-488.228119
-102.154076,-67.230911,-484.813934
-120.232635,-66.899292,-480.695984
-138.338715,-66.305870,-475.884369
132.601349,-66.266716,-477.520264
114.481247,-67.196426,-482.056732
96.500725,-67.986732,-485.865631
78.475769,-68.516075,-489.026703
60.423584,-69.227753,-491.484009
42.517151,-69.675682,-493.292572
24.320271,-70.079216,-494.466827
6.152109,-70.372932,-494.984650
-12.687204,-70.036018,-494.908081
-30.071337,-70.733780,-494.057129
-48.079254,-70.679840,-492.638580
-66.136864,-70.590454,-490.553650
-84.218903,-70.377495,-487.805481
-102.154076,-70.204407,-484.392303
-120.232635,-69.847542,-480.276459
-138.338715,-69.224594,-475.468567
132.601349,-69.195488,-477.104645
114.481247,-70.152992,-481.635315
96.500725,-70.966667,-485.439362
78.475769,-71.515404,-488.597076
60.423584,-72.242142,-491.049957
42.517151,-72.701157,-492.855774
24.320271,-73.111885,-494.027527
6.152109,-73.408775,-494.543549
-12.687204,-73.071396,-494.468994
-30.071337,-73.763931,-493.613831
-48.079254,-73.701294,-492.195618
-66.136864,-73.599106,-490.111267
-84.218903,-73.369286,-487.364471
-102.154076,-73.175255,-483.952393
-120.232635,-72.793144,-479.838806
-138.338715,-72.140709,-475.034882
132.601349,-72.121635,-476.671112
114.481247,-73.106941,-481.195801
96.500725,-73.943924,-484.994751
78.475769,-74.512032,-488.149048
60.423584,-75.253799,-490.597443
42.517151,-75.723885,-492.400421
24.320271,-76.141808,-493.569611
6.152109,-76.441849,-494.083771
-12.687204,-76.104019,-494.011353
-30.071337,-76.791290,-493.151917
-48.079254,-76.719963,-491.734100
-66.136864,-76.604988,-489.650482
-84.218903,-76.358322,-486.905121
-102.154076,-76.143349,-483.494293
-120.232635,-75.736008,-479.383118
-138.338715,-75.054100,-474.583282
132.601349,-75.045090,-476.219604
114.481247,-76.058128,-480.738190
96.500725,-76.918411,-484.531921
78.475769,-77.505852,-487.682678
60.423584,-78.262627,-490.126465
42.517151,-78.743774,-491.926514
24.320271,-79.168854,-493.093140
6.152109,-79.472054,-493.605469
-12.687204,-79.133781,-493.535065
-30.071337,-79.815765,-492.671478
-48.079254,-79.735733,-491.254089
-66.136864,-79.607971,-489.171204
-84.218903,-79.344467,-486.427429
-102.154076,-79.108597,-483.017975
-120.232635,-78.676018,-478.909393
-138.338715,-77.964684,-474.113831
132.601349,-77.965698,-475.750183
114.481247,-79.006447,-480.262451
96.500725,-79.889992,-484.050842
78.475769,-80.496758,-487.197937
60.423584,-81.268517,-489.637024
42.517151,-81.760704,-491.434113
24.320271,-82.192924,-492.598083
6.152109,-82.499260,-493.108521
-12.687204,-82.160568,-493.040222
-30.071337,-82.837242,-492.172455
-48.079254,-82.748520,-490.755615
-66.136864,-82.607979,-488.673553
-84.218903,-82.327644,-485.931427
-102.154076,-82.070839,-482.523468
-120.232635,-81.613075,-478.417664
-138.338715,-80.872322,-473.626526
132.601349,-80.883377,-475.262848
114.481247,-81.951805,-479.768646
96.500725,-82.858574,-483.551514
78.475769,-83.484634,-486.694824
60.423584,-84.271347,-489.129150
42.517151,-84.774551,-490.923187
24.320271,-85.213905,-492.084473
6.152109,-85.523369,-492.593048
-12.687204,-85.184265,-492.526825
-30.071337,-85.855591,-491.654907
-48.079254,-85.758179,-490.238647
-66.136864,-85.604874,-488.157471
-84.218903,-85.307709,-485.417084
-102.154076,-85.030014,-482.010834
-120.232635,-84.547050,-477.907867
-138.338715,-83.776924,-473.121368
132.601349,-83.798012,-474.757629
114.481247,-84.894058,-479.256744
96.500725,-85.824036,-483.034027
78.475769,-86.469353,-486.173431
60.423584,-87.271004,-488.602875
42.517151,-87.785202,-490.393768
24.320271,-88.231674,-491.552307
6.152109,-88.544258,-492.058990
-12.687204,-88.204742,-491.994873
-30.071337,-88.870720,-491.118835
-48.079254,-88.764618,-489.703186
-66.136864,-88.598534,-487.623016
-84.218903,-88.284569,-484.884521
-102.154076,-87.985970,-481.480042
-120.232635,-87.477852,-477.380096
-138.338715,-86.678368,-472.598419
132.601349,-86.709496,-474.234467
114.481247,-87.833122,-478.726837
96.500725,-88.786263,-482.498322
78.475769,-89.450836,-485.633698
60.423584,-90.267372,-488.058197
42.517151,-90.792542,-489.845886
24.320271,-91.246117,-491.001709
6.152109,-91.561806,-491.506439
-12.687204,-91.221916,-491.444397
-30.071337,-91.882492,-490.564301
-48.079254,-91.767700,-489.149323
-66.136864,-91.588867,-487.070221
-84.218903,-91.258110,-484.333679
-102.154076,-90.938629,-480.931122
-120.232635,-90.405342,-476.834351
-138.338715,-89.576546,-472.057678
132.601349,-89.617714,-473.693512
114.481247,-90.768883,-478.178864
96.500725,-91.745132,-481.944427
78.475769,-92.428947,-485.075714
60.423584,-93.260338,-487.495148
42.517151,-93.796471,-489.279572
24.320271,-94.257141,-490.432587
6.152109,-94.575905,-490.935364
-12.687203,-94.235641,-490.875427
-30.071337,-94.890816,-489.991272
-48.079254,-94.767342,-488.577057
-66.136864,-94.575752,-486.499054
-84.218903,-94.228195,-483.764618
-102.154076,-93.887840,-480.364044
-120.232635,-93.329453,-476.270630
-138.338715,-92.471344,-471.499176
132.601349,-92.522552,-473.134705
114.481247,-93.701225,-477.612946
