x,y,z
-1963.29871,-2795.15527,-952.76813
-1660.66406,-2817.23730,-936.92609
-1362.92908,-2839.69043,-926.04169
-1103.25745,-2860.24341,-914.64630
-820.35217,-2881.52808,-909.42908
-3081.37524,-2578.97974,-901.06403
-2784.70117,-2473.02393,-921.85236
-2584.29712,-2552.09131,-954.57489
-2240.93774,-2531.51270,-968.17108
-1940.41577,-2524.19092,-961.21375
-1659.99536,-2545.43359,-960.78162
-1357.82056,-2549.81152,-936.21381
-1059.28088,-2517.75464,-922.58185
-758.89197,-2455.31958,-913.75214
-545.09412,-2447.81201,-910.63062
-2821.15405,-2270.63721,-934.56494
-2576.83594,-2234.57031,-976.88727
-2269.42041,-2247.86865,-981.17377
-1930.86719,-2253.67554,-980.90894
-1626.35950,-2235.68164,-963.59094
-1329.23181,-2244.00464,-945.45001
-1022.17303,-2240.59888,-929.82861
-739.45715,-2249.35693,-922.86371
-470.81232,-2199.80176,-910.97809
-126.09384,-2237.10278,-904.31921
161.53583,-2230.95947,-904.96234
404.13998,-2238.12842,-903.96606
-2485.55322,-1949.02539,-923.24219
-2234.91382,-1918.45093,-954.60199
-1941.72400,-1965.57874,-985.09155
-1643.95020,-1949.33423,-978.04700
-1352.24792,-1943.73962,-952.40350
-1046.66235,-1932.13843,-939.81812
-714.02368,-1948.82910,-925.76770
-472.49893,-1933.42566,-914.38538
-120.81971,-1919.30151,-909.65540
146.06906,-1947.76660,-909.34875
368.47986,-2011.09229,-905.59991
-2525.27417,-1682.00244,-903.27997
-2203.94800,-1685.99280,-923.65826
-1946.38513,-1624.86865,-954.05365
-1649.10425,-1645.75549,-972.65961
-1338.66406,-1634.15991,-943.28046
-1042.45068,-1639.97888,-932.95709
-746.16168,-1657.00818,-927.04285
-459.59045,-1652.00391,-914.79053
-147.42572,-1652.43494,-913.67957
119.21883,-1658.13928,-904.92920
808.41443,-1538.72021,-901.42676
-2209.07593,-1349.12000,-910.44019
-1927.21350,-1349.79993,-932.44006
-1648.66479,-1339.11755,-948.59589
-1347.68372,-1363.84619,-935.94873
-1042.17065,-1406.25037,-917.11359
-768.65125,-1372.49939,-911.08380
-456.01956,-1358.45972,-920.81091
-193.60548,-1359.75793,-916.35370
157.84000,-1312.94141,-916.51599
466.81149,-1392.81934,-926.98993
924.40234,-1309.22339,-901.85144
-2499.28979,-1088.92456,-900.24139
-2190.34375,-1081.92236,-910.82312
-1952.41870,-1035.14111,-923.87317
-1651.12439,-1048.82739,-935.37354
-1414.71448,-1108.55432,-921.19708
-1032.61218,-1067.82385,-914.61011
-732.92487,-1087.78748,-908.78503
-460.71198,-1139.93884,-917.66656
-133.93719,-1127.04517,-913.41724
99.42049,-1115.10400,-925.28064
346.04395,-1055.10376,-907.95508
-2181.75537,-783.18542,-905.93298
-1945.96985,-752.60797,-920.60168
-1668.83069,-747.68964,-939.56732
-1383.13989,-793.49945,-931.33661
-1026.07141,-734.68774,-911.85815
-743.24683,-858.90637,-905.38562
-2225.37866,-453.01181,-905.58130
-1936.62183,-444.29614,-916.64313
-1642.77136,-454.41467,-922.41162
-1408.80347,-477.57602,-910.94995
-997.67285,-554.14667,-928.66895
-875.31750,-547.80536,-903.38947
-2123.03467,-286.23328,-900.95642
-1945.94373,-232.03441,-909.45331
-1691.98792,-265.79559,-906.97693
-1063.44873,-133.86679,-902.98914
-757.72559,865.17145,-904.26740
-1035.48157,938.07727,-906.80261
-738.69678,1435.78223,-906.90967
-2608.18555,3114.13867,-901.90497
-2770.88428,3436.71362,-906.54968
-2585.28467,3461.35107,-908.45569
-2367.63965,3570.48145,-901.57001
-2805.93579,3754.09912,-911.72156
-2553.80444,3745.42651,-909.84570
-2854.39722,4073.13403,-918.86359
-2577.98901,4045.10059,-914.54285
-2875.65259,4443.27197,-934.42462
-2630.57983,4301.27686,-924.63293
-4006.96216,4771.39844,-911.16418
-3842.69238,4576.61816,-911.21112
-3493.34863,4661.40625,-914.70319
-3089.68945,4641.30176,-913.43097
-2887.55371,4714.47461,-928.83191
-2562.37671,4568.64355,-918.06714
-4186.67188,4984.52930,-911.36493
-3874.79248,4975.26562,-954.77802
-3598.07568,4990.10352,-923.88562
-3198.61499,5003.35596,-930.98779
-2711.10620,4830.46484,-937.25214
-4067.07837,5220.21680,-940.02686
-3810.48950,5282.98486,-937.98206
-3529.16772,5294.71582,-924.92657
-3194.95850,5209.36816,-933.72949
